LotArea,OverallQual,OverallCond,BedroomAbvGr,GarageArea,SalePrice
8450,7,5,3,548,208500
9600,6,8,3,460,181500
11250,7,5,3,608,223500
9550,7,5,3,642,140000
14260,8,5,4,836,250000
14115,5,5,1,480,143000
10084,8,5,3,636,307000
10382,7,6,3,484,200000
6120,7,5,2,468,129900
7420,5,6,2,205,118000
11200,5,5,3,384,129500
11924,9,5,4,736,345000
12968,5,6,2,352,144000
10652,7,5,3,840,279500
10920,6,5,2,352,157000
6120,7,8,2,576,132000
11241,6,7,2,480,149000
10791,4,5,2,516,90000
13695,5,5,3,576,159000
7560,5,6,3,294,139000
14215,8,5,4,853,325300
7449,7,7,3,280,139400
9742,8,5,3,534,230000
4224,5,7,3,572,129900
8246,5,8,3,270,154000
14230,8,5,3,890,256300
7200,5,7,3,576,134800
11478,8,5,3,772,306000
16321,5,6,2,319,207500
6324,4,6,1,240,68500
8500,4,4,3,250,40000
8544,5,6,3,271,149350
11049,8,5,3,484,179900
10552,5,5,4,447,165500
7313,9,5,2,556,277500
13418,8,5,4,691,309000
10859,5,5,3,672,145000
8532,5,6,3,498,153000
7922,5,7,3,246,109000
6040,4,5,2,0,82000
8658,6,5,3,440,160000
16905,5,6,2,308,170000
9180,5,7,2,504,144000
9200,5,6,3,308,130250
7945,5,6,3,300,141000
7658,9,5,2,576,319900
12822,7,5,1,670,239686
11096,8,5,3,826,249700
4456,4,5,2,0,113000
7742,5,7,3,386,127000
13869,6,6,3,388,177000
6240,6,6,3,528,114500
8472,5,5,2,516,110000
50271,9,5,0,894,385000
7134,5,5,3,572,130000
10175,6,5,3,576,180500
2645,8,5,3,480,172500
11645,7,5,3,565,196500
13682,10,5,3,641,438780
7200,5,7,2,352,124900
13072,6,5,3,576,158000
7200,5,7,3,288,101000
6442,8,5,2,484,202500
10300,7,6,3,480,140000
9375,7,5,3,645,219500
9591,8,5,4,852,317000
19900,7,5,3,576,180000
10665,7,5,3,558,226000
4608,4,6,2,220,80000
15593,7,4,3,667,225000
13651,7,6,3,516,244000
7599,4,6,2,360,129500
10141,7,5,3,427,185000
10200,5,7,3,490,144900
5790,3,6,3,379,107400
1596,4,5,2,297,91000
8475,4,7,2,283,135750
8635,5,5,2,240,127000
10778,4,5,4,0,136500
10440,5,6,2,440,110000
13000,6,6,4,509,193500
4500,6,5,2,405,153500
10206,8,5,3,758,245000
8892,5,5,3,461,126500
8530,7,5,3,400,168500
16059,8,5,4,462,260000
11911,6,5,3,400,174000
3951,6,5,2,528,164500
8470,3,2,2,0,85000
8070,4,5,3,0,123600
7200,4,5,2,420,109900
8500,5,3,2,480,98600
13360,5,7,2,432,163500
7200,6,6,4,506,133900
9337,6,5,3,684,204750
9765,6,8,3,420,185000
10264,7,5,3,472,214000
10921,4,5,3,432,94750
10625,5,5,2,366,83000
9320,4,5,3,0,128950
10603,6,7,3,480,205000
9206,6,5,3,476,178000
7018,5,5,4,410,118964
10402,7,5,3,740,198900
7758,7,4,4,240,169500
9375,8,5,3,648,250000
10800,4,7,2,273,100000
6000,5,5,2,250,115000
8500,5,7,3,0,115000
11751,6,6,3,546,190000
9525,6,4,4,325,136900
7750,7,5,3,400,180000
9965,7,5,4,792,383970
21000,6,5,3,450,217000
7259,6,8,3,180,259500
3230,6,5,2,440,176000
11616,5,5,3,288,139000
8536,5,5,2,430,155000
12376,7,5,5,594,320000
8461,6,5,3,390,163990
21453,6,5,1,540,180000
6060,4,5,3,264,100000
9464,6,7,3,288,136000
7892,6,5,2,530,153900
17043,6,5,3,435,181000
6780,6,8,2,0,84500
4928,6,5,2,440,128000
4388,5,7,3,0,87000
7590,6,5,3,453,155000
8973,5,7,3,750,150000
14200,7,6,4,487,226000
12224,6,5,3,390,244000
7388,5,6,3,624,150750
6853,8,5,2,471,220000
10335,5,6,3,440,180000
10400,7,6,3,530,174000
10355,5,5,3,318,143000
11070,7,5,5,766,171000
9066,8,5,3,660,230000
15426,6,5,3,470,231500
10500,4,5,3,0,115000
11645,7,5,3,660,260000
8520,5,4,4,720,166000
10335,7,5,3,577,204000
9100,5,5,6,504,125000
2522,6,5,3,380,130000
6120,5,7,2,180,105000
9505,7,5,3,434,222500
7500,7,5,3,0,141000
6240,5,4,3,240,115000
10356,5,6,3,440,122000
13891,8,5,2,866,372402
14803,6,5,4,495,190000
13500,6,7,1,564,235000
11340,6,5,4,312,125000
9600,6,5,2,0,79000
7200,5,7,2,625,109500
12003,8,5,4,680,269500
12552,7,5,3,678,254900
19378,7,5,4,576,320000
11120,6,6,3,516,162500
13688,9,5,3,726,412500
12182,7,5,3,532,220000
5500,4,6,1,0,103200
5400,6,7,3,216,152000
10106,5,7,4,0,127500
10708,5,5,2,303,190000
10562,8,5,3,789,325624
8244,7,5,3,440,183500
16669,8,6,2,511,228000
12358,5,6,2,660,128500
31770,6,5,3,528,215000
5306,7,7,2,504,239000
10197,6,5,3,504,163000
12416,6,5,3,616,184000
12615,6,7,4,576,243000
10029,6,5,4,521,211000
13650,5,5,4,451,172500
17423,9,5,1,1166,501837
8520,5,6,2,480,100000
2117,6,5,3,440,177000
7588,7,6,4,216,200100
9060,5,6,3,252,120000
11426,7,5,3,484,200000
7438,5,8,3,576,127000
22950,10,9,4,840,475000
9947,7,5,3,497,173000
10410,5,7,3,180,135000
7018,5,5,2,528,153337
4923,8,5,0,682,286000
10570,8,8,3,440,315000
7472,7,9,4,484,184000
9017,7,5,3,666,192000
2522,7,5,3,380,130000
7180,5,7,3,352,127000
2280,6,6,3,440,148500
9416,7,5,3,786,311872
25419,8,4,4,795,235000
5520,6,6,5,0,104000
9591,8,5,3,856,274900
8546,4,5,2,440,140000
10125,6,6,3,473,171500
7000,6,6,2,398,112000
4438,6,5,1,420,149000
3500,5,7,2,240,110000
11851,7,5,3,500,180500
13673,5,5,3,349,143900
12493,4,5,3,312,141000
14364,7,5,3,454,277000
8250,6,7,3,504,145000
5604,5,6,2,0,98000
10420,6,5,3,460,186000
8640,7,5,3,644,252678
13568,5,5,3,576,156000
10900,6,7,3,299,161750
10011,5,6,2,447,134450
8450,7,5,3,484,210000
9906,4,4,3,210,107000
15660,7,9,3,431,311500
3010,7,5,2,438,167240
8990,7,5,2,675,204900
8068,6,5,4,390,200000
11475,6,6,3,434,179900
10500,4,6,2,576,97000
13472,10,5,3,968,386250
1680,5,5,3,280,112000
9950,7,5,4,721,290000
1869,6,6,2,280,106000
8521,5,5,3,336,125000
3182,7,5,2,430,192500
8760,6,6,3,312,148000
15138,8,5,4,810,403000
1680,6,5,2,288,94500
10650,5,6,3,308,128200
7851,6,5,4,440,216500
1680,6,3,2,264,89500
8773,7,5,3,494,185500
9453,7,7,3,457,194500
12030,8,5,3,818,318000
8741,6,4,3,220,113000
9000,8,5,3,750,262500
3880,5,9,2,0,110500
5000,5,4,3,352,79000
10762,6,6,3,288,120000
8880,7,5,3,463,205000
10400,7,5,3,604,241500
9142,6,8,4,440,137000
11310,6,5,2,451,140000
11317,7,5,3,500,180000
159000,6,7,4,389,277000
5350,3,2,3,0,76500
4750,8,5,2,538,235000
8366,6,5,3,520,173000
9350,6,7,3,309,158000
8400,5,6,3,294,145000
8738,7,5,4,429,230000
8791,6,5,3,673,207500
8814,7,5,3,660,220000
12435,7,5,3,564,231500
12702,5,5,2,308,97000
19296,6,5,3,884,176000
9588,8,5,3,868,276000
8471,6,7,3,492,151000
5500,5,7,3,484,130000
5232,5,5,2,504,73000
12090,6,6,3,576,175500
11207,6,5,3,413,185000
8400,5,8,4,240,179500
6900,5,6,2,924,120500
7917,6,7,3,504,148000
10728,8,5,3,1053,266000
39104,7,7,2,439,241500
11764,8,7,4,671,290000
9600,6,6,3,338,139000
8314,5,7,2,264,124500
7264,7,7,3,672,205000
9196,7,5,3,573,201000
19138,4,5,2,400,141000
14450,9,5,3,732,415298
10005,7,5,4,505,192000
11287,7,6,3,575,228500
7200,6,5,2,572,185000
5063,7,5,2,626,207500
9612,8,5,3,898,244600
8012,6,5,2,529,179200
4251,7,5,2,528,164700
9786,6,7,3,440,159000
8125,4,4,3,0,88000
9819,5,5,3,280,122000
8730,6,7,3,384,153575
15611,8,5,3,685,233230
5687,5,6,6,0,135900
11409,5,4,3,281,131000
16659,7,7,3,539,235000
9600,6,5,3,418,167000
7937,6,6,3,588,142500
13710,5,5,4,282,152000
7399,7,5,3,576,239000
11700,6,6,3,539,175000
14000,6,8,3,300,158500
15750,5,5,2,375,157000
16226,8,5,4,683,267000
13704,7,5,3,843,205000
9800,5,7,3,552,149900
18386,7,9,3,870,295000
10386,8,5,3,888,305900
13474,7,5,4,746,225000
7920,6,7,3,0,89500
12342,4,5,1,539,82500
12378,9,5,3,708,360000
7685,6,5,3,420,165600
8000,6,6,2,240,132000
7800,5,7,3,410,119900
215245,7,5,3,513,375000
9600,7,7,3,546,178000
7795,7,5,3,432,188500
13005,7,7,4,484,260000
9000,8,5,3,1025,270000
9900,7,5,4,656,260000
14115,7,5,3,588,187500
16259,9,5,4,840,342643
12099,8,5,4,872,354000
10380,7,5,4,576,301000
5820,3,8,3,220,126175
11275,7,7,5,564,242000
5000,5,6,2,360,87000
10846,8,5,1,473,324000
11600,6,5,3,292,145250
11888,6,6,5,441,214500
6402,5,5,3,189,78000
10624,5,4,6,352,119000
8176,5,6,3,308,139000
10655,8,5,3,880,284000
8198,7,5,2,484,207000
9042,6,5,3,472,192000
164660,5,6,3,529,228950
14157,9,5,3,676,377426
9135,7,5,3,532,214000
14145,7,7,3,440,202500
12400,6,7,3,297,155000
14191,8,5,4,431,202900
8400,4,4,2,294,82000
8544,3,4,2,400,87500
8849,9,5,2,564,266000
2592,5,3,3,336,85000
6435,6,5,3,312,140200
12772,6,8,2,301,151500
17600,6,5,3,498,157500
2448,7,5,2,474,154000
20431,9,5,4,706,437154
7820,9,5,2,617,318061
5271,7,5,2,445,190000
9084,5,6,3,200,95000
8520,6,8,2,484,105900
8400,6,5,2,240,140000
11249,6,5,3,521,177500
9248,6,6,3,400,173000
4224,5,5,3,528,134000
6930,5,4,3,288,130000
12011,8,5,3,592,280000
7540,6,6,2,470,156000
9144,5,5,3,240,145000
7301,7,5,4,672,198500
1680,6,8,2,264,118000
18800,6,5,3,566,190000
10690,5,7,3,468,147000
9500,6,5,3,514,159000
9150,6,5,3,296,165000
7800,5,6,2,244,132000
9830,5,7,3,576,162000
8121,6,5,3,460,172400
17120,4,4,4,680,134432
7175,6,5,2,264,125000
10634,5,6,3,270,123000
8200,7,5,4,434,219500
10020,1,1,1,0,61000
8846,5,5,2,576,148000
11143,8,5,4,610,340000
11394,9,2,1,834,394432
8123,6,5,3,463,179000
5000,5,6,3,308,127000
7200,7,5,2,572,187750
9245,7,5,3,639,213500
9000,6,3,2,360,76000
53107,6,5,3,501,240000
3182,8,5,2,430,192000
8410,5,3,5,0,81000
7200,6,6,3,352,125000
9382,7,5,3,577,191000
12474,10,5,3,846,426000
8405,5,8,4,384,119000
12209,6,5,3,560,215000
8339,5,7,3,294,106500
7446,4,5,2,0,100000
10134,5,6,2,240,109000
9571,5,6,3,596,129000
7200,5,5,2,600,123000
7590,5,5,4,264,169500
8967,5,2,2,338,67000
8125,7,5,2,438,241000
14963,8,5,1,500,245500
8767,7,5,3,400,164990
10200,5,8,2,240,108000
12090,8,5,4,420,258000
10364,6,5,3,373,168000
9991,4,4,3,490,150000
10480,6,5,3,240,115000
15576,6,7,4,308,177000
14154,7,5,3,947,280000
10800,8,5,3,836,339750
9571,5,3,3,350,60000
34650,5,5,3,572,145000
4403,7,5,2,484,222000
8960,5,6,2,360,115000
11228,7,5,3,678,228000
8899,7,5,3,396,181134
7844,6,7,3,440,149500
22420,6,6,4,864,239000
8160,5,6,3,240,126000
8450,5,6,3,304,142000
7060,7,5,2,784,206300
16635,6,7,3,529,215000
21750,5,5,2,520,113000
9200,8,5,4,696,315000
9000,6,5,2,297,139000
3378,7,8,3,240,135000
12800,7,5,2,569,275000
8593,4,6,3,352,109008
6762,7,5,2,628,195400
11457,6,5,3,576,175000
1680,6,5,2,264,85400
5586,6,7,4,0,79900
1920,5,5,2,440,122500
10839,6,5,3,470,181000
1890,4,7,1,0,81000
10667,7,6,3,550,212000
4400,6,8,2,440,116000
6000,6,7,2,180,119000
4280,5,6,2,352,90350
12354,6,8,3,528,110000
15431,10,5,2,672,555000
12108,4,4,4,0,118000
6240,5,7,3,360,162900
3922,7,5,2,648,172500
8750,7,5,4,493,210000
9855,6,5,3,480,127500
16492,6,6,2,578,190000
11214,7,5,4,431,199900
8600,6,6,3,198,119500
6000,3,7,2,308,120000
5684,6,8,2,270,110000
70761,7,5,2,576,280000
9303,6,5,3,422,204000
9000,8,5,3,676,210000
9297,5,5,4,560,188000
9600,7,6,3,528,175500
4571,5,5,4,513,98000
53227,4,6,2,529,256000
5100,8,7,3,228,161000
7015,5,4,3,352,110000
8004,8,5,3,552,263435
7200,7,9,3,576,155000
8281,5,5,3,360,62383
11988,6,7,3,240,188700
8430,5,5,3,0,124000
3072,7,5,2,398,178740
10628,7,5,2,526,167000
9480,5,7,3,312,146500
11428,8,5,3,866,250000
9291,6,5,3,506,187000
6820,8,5,1,528,212000
11952,7,6,3,534,190000
3675,6,5,2,525,148000
14977,8,5,2,908,440000
5330,8,5,2,499,251000
8480,5,6,2,624,132500
13125,6,5,3,508,208900
13693,9,5,3,694,380000
10637,8,5,3,826,297000
5925,4,7,2,672,89471
16033,9,5,3,772,326000
11846,9,5,2,874,374000
2500,7,8,4,164,155000
4500,6,5,2,402,164000
7758,5,7,3,264,132500
9600,5,7,3,264,147000
10289,5,7,3,515,156000
12243,5,6,3,487,175000
10800,5,4,3,520,160000
1526,4,8,1,286,86000
2665,5,6,3,336,115000
9490,6,7,3,240,133000
15578,6,5,3,429,172785
7931,5,6,3,308,155000
5784,5,8,2,273,91300
7879,4,5,2,0,34900
12692,8,5,4,546,430000
9120,7,6,4,240,184000
7800,5,7,3,288,130000
7535,5,7,2,297,120000
1890,6,5,3,264,113000
9803,7,5,3,603,226700
9170,5,7,2,461,140000
15602,7,8,1,484,289000
2308,6,5,3,440,147000
7596,5,5,4,400,124500
9554,8,5,3,471,215000
7862,6,5,2,676,208300
9600,7,9,3,360,161000
9600,5,6,3,270,124500
14559,5,7,2,288,164900
6792,7,5,2,474,202665
9100,5,5,3,624,129900
9187,6,5,3,484,134000
10594,5,5,2,200,96500
12220,10,5,3,900,402861
10448,6,6,3,583,158000
10208,7,5,3,889,265000
9531,6,5,3,546,211000
10918,7,9,3,282,234000
10800,4,7,3,0,106250
11988,6,6,3,336,150000
5000,6,7,3,420,159000
40094,10,5,3,884,184750
11787,7,5,3,834,315750
7500,7,5,3,453,176000
13300,5,7,2,252,132000
14948,9,5,3,858,446261
9098,4,7,2,0,86000
32668,6,3,4,484,200624
10200,6,5,3,600,175000
6155,6,8,3,502,128000
7200,5,7,2,392,107500
5000,1,3,1,0,39300
9056,8,5,3,403,178000
7000,5,7,3,0,107500
8924,7,5,3,527,188000
12735,4,5,3,576,111250
11553,5,5,3,336,158000
11423,8,5,3,670,272000
14601,9,5,2,765,315000
11000,8,5,4,648,248000
10140,7,5,3,583,213250
4058,7,5,1,367,133000
17104,7,5,3,426,179665
13837,7,5,4,786,229000
8737,6,7,3,440,210000
7244,5,7,2,624,129500
8235,5,7,2,720,125000
9375,7,5,4,615,263000
4043,6,6,2,440,140000
6000,5,6,3,288,112500
11146,8,5,3,908,255500
8777,4,5,2,520,108000
10625,7,5,3,871,284000
6380,5,6,2,280,113000
14850,5,5,2,299,141000
11040,4,6,3,570,108000
21872,7,5,3,406,175000
3196,7,5,2,420,234000
11341,5,6,3,528,121500
10010,5,5,2,418,170000
13907,5,6,3,0,108000
21780,6,7,4,396,185000
13346,7,5,4,590,268000
6858,6,4,4,216,128000
11198,9,5,4,656,325000
10171,7,5,3,532,214000
12327,8,8,1,612,316600
7032,5,5,2,600,135960
13101,5,5,6,576,142600
7332,6,6,2,288,120000
13159,7,5,3,650,224500
9967,7,5,3,400,170000
10500,5,7,3,288,139000
8480,5,5,2,336,118500
6292,7,7,3,216,145000
11777,5,6,3,564,164500
3604,7,5,2,540,146000
12150,5,5,4,352,131500
14585,6,6,3,572,181900
12704,8,5,3,1390,253293
11841,6,5,3,0,118500
13500,10,9,3,880,325000
6120,4,7,3,240,133000
11443,8,5,2,880,369900
10267,6,7,2,275,130000
8740,5,6,2,528,137000
25095,5,8,1,452,143000
9100,5,6,2,308,79500
8320,7,5,3,520,185900
13478,10,5,3,842,451950
6600,5,8,2,816,138000
4435,6,5,1,420,140000
7990,5,6,3,280,110000
11302,8,5,3,758,319000
3600,6,7,3,216,114504
3922,7,5,2,648,194201
12984,5,6,3,621,217500
1950,6,6,3,452,151000
10927,8,5,3,736,275000
9000,6,6,3,544,141000
10041,8,5,3,506,220000
3182,7,5,2,480,151000
12803,7,5,3,530,221000
13600,7,6,3,486,205000
12464,5,5,3,576,152000
7800,5,8,3,230,225000
12168,8,6,4,380,359100
7943,4,5,3,261,118500
11050,9,5,3,736,313000
10395,6,6,3,564,148000
11885,8,5,3,531,261500
8402,5,5,3,0,147000
1491,4,6,1,0,75500
8800,6,7,3,480,137500
7861,6,5,3,393,183200
7227,6,6,2,528,105500
11694,9,5,3,774,314813
12244,8,5,4,749,305000
8248,3,3,2,0,67000
10800,6,7,4,624,240000
7064,5,6,3,484,135000
2117,6,5,2,440,168500
10400,6,5,4,484,165150
10000,6,6,3,440,160000
12342,5,5,3,286,139900
9600,6,6,3,364,153000
11606,5,5,5,504,135000
9020,6,5,3,520,168500
9000,5,6,3,240,124000
4590,8,5,2,627,209500
11900,7,5,3,544,82500
9250,5,7,3,260,139400
6979,6,5,0,576,144000
10896,6,7,8,0,200000
6120,2,3,1,0,60000
6000,5,4,3,256,93000
8777,5,7,2,0,85000
3982,8,5,1,648,264561
12677,8,5,1,588,274000
7050,7,5,3,650,226000
13860,8,7,4,538,345000
10793,5,5,4,462,152000
9187,9,5,2,478,370878
10530,6,5,3,576,143250
7200,5,5,3,420,98300
10452,6,5,3,495,155000
7700,6,5,4,442,155000
1936,4,6,1,0,84500
8125,7,6,3,562,205950
9084,4,5,4,296,108000
8750,7,5,2,512,191000
10320,6,7,3,216,135000
10437,8,6,2,839,350000
1680,6,5,3,264,88000
10007,5,7,3,312,145500
7200,7,6,3,270,149000
17503,6,5,3,330,97500
9937,5,7,3,480,167000
12384,7,7,3,550,197900
46589,8,7,4,711,402000
13560,6,3,2,576,110000
10012,4,5,3,588,137500
20896,8,5,1,1134,423000
11194,8,5,3,504,230500
18450,6,5,3,596,129000
8125,6,5,3,575,193500
14175,5,6,3,576,168000
11600,4,5,2,252,137500
8633,6,5,3,540,173500
6629,6,6,3,300,103600
11250,6,6,3,546,165000
14442,6,7,3,416,257500
9200,6,6,3,384,140000
2289,6,6,3,440,148500
9600,4,2,4,779,87000
9022,5,8,2,240,109500
11844,8,5,3,834,372500
9945,5,5,3,572,128500
8012,6,5,2,264,143000
4500,5,5,3,281,159434
2887,6,5,2,431,173000
11248,9,5,3,702,285000
16770,7,5,4,486,221000
5062,7,5,3,577,207500
10207,7,6,3,578,227875
5105,7,5,2,480,148800
8089,8,6,2,567,392000
7577,6,5,2,460,194700
4426,6,5,1,420,141000
21535,10,6,4,832,755000
26178,7,5,4,628,335000
5400,5,6,2,326,108480
6120,5,6,3,576,141500
13811,6,6,2,551,176000
6000,5,7,2,205,89000
6420,5,7,2,308,123500
8450,5,8,3,336,138500
4282,7,5,2,530,196000
14331,8,5,3,765,312500
9600,7,5,3,528,140000
12438,8,5,4,666,361919
7630,5,9,4,672,140000
8400,7,5,3,606,213000
5600,4,5,3,0,55000
115149,7,5,2,739,302000
6240,8,5,2,550,254000
9018,7,5,3,400,179540
7162,5,7,3,408,109900
4130,3,6,2,0,52000
8712,4,7,2,384,102776
4671,8,5,2,472,189000
9873,4,5,3,576,129000
13517,6,8,3,475,130500
10140,6,5,3,478,165000
10800,7,8,3,704,159500
10000,5,6,3,439,157000
10542,7,5,3,983,341000
9920,5,6,3,300,128500
6563,8,5,2,564,275000
4426,6,5,1,420,143000
8120,4,7,3,463,124500
8172,4,6,4,548,135000
13286,9,5,3,768,320000
6960,4,6,3,660,120500
21695,6,9,3,540,222000
7314,7,5,2,632,194500
